time (YYYY-MM-DD-HH); significant wave height (m); zero-up-crossing period (s)
1996-01-29-00; 1.3608; 8.6363
1996-01-29-01; 1.3195; 8.0257
1996-01-29-02; 1.2325; 8.0241
1996-01-29-03; 1.3406; 8.3317
1996-01-29-04; 1.1574; 7.3099
1996-01-29-05; 1.3250; 7.4971
1996-01-29-06; 1.0552; 6.7351
1996-01-29-07; 1.1639; 7.5500
1996-01-29-08; 0.9808; 6.7352
1996-01-29-09; 0.7565; 5.3848
1996-01-29-10; 0.8337; 5.9781
1996-01-29-11; 0.7650; 5.6195
1996-01-29-13; 0.7872; 6.5167
1996-01-29-14; 0.7993; 6.0069
1996-01-29-15; 0.9722; 6.9144
1996-01-29-16; 0.9020; 7.3599
1996-01-29-17; 0.7485; 7.3633
1996-01-29-18; 0.7361; 6.8013
1996-01-29-19; 0.6456; 6.0944
1996-01-29-20; 0.6591; 6.3205
1996-01-29-21; 0.6456; 5.5491
1996-01-29-22; 0.6652; 4.5237
1996-01-29-23; 0.7010; 3.9759
1996-01-30-00; 0.7512; 3.7717
1996-01-30-01; 0.9717; 3.9227
1996-01-30-02; 1.2800; 4.2805
1996-01-30-03; 1.6210; 4.5561
1996-01-30-04; 1.8481; 4.7953
1996-01-30-05; 2.1183; 5.0631
1996-01-30-06; 2.3246; 5.3759
1996-01-30-07; 2.3557; 5.5180
1996-01-30-08; 2.2501; 5.5931
1996-01-30-09; 2.1953; 5.4393
1996-01-30-10; 2.1843; 5.4891
1996-01-30-11; 2.1847; 5.5606
1996-01-30-12; 2.2227; 5.5834
1996-01-30-13; 2.1670; 5.7820
1996-01-30-14; 1.9634; 5.8632
1996-01-30-15; 1.8477; 5.9905
1996-01-30-16; 1.8331; 6.3326
1996-01-30-17; 1.8370; 6.3426
1996-01-30-18; 1.7565; 5.8279
1996-01-30-19; 1.7084; 5.5159
1996-01-30-20; 1.6673; 5.6651
1996-01-30-21; 1.6767; 5.7486
1996-01-30-22; 1.6973; 5.5504
1996-01-30-23; 1.6363; 5.6942
1996-01-31-00; 1.4533; 5.8651
1996-01-31-01; 1.3298; 5.4352
1996-01-31-02; 1.1343; 5.6311
1996-01-31-03; 1.1660; 6.5098
1996-01-31-04; 0.9779; 6.4139
1996-01-31-05; 0.9144; 6.2513
1996-01-31-06; 0.9689; 6.5521
1996-01-31-07; 0.8872; 6.6503
1996-01-31-08; 0.8365; 6.3376
1996-01-31-09; 0.8781; 5.7888
1996-01-31-10; 0.7953; 4.7799
1996-01-31-11; 0.8365; 5.3949
1996-01-31-12; 0.9152; 4.8197
1996-01-31-13; 0.8967; 5.0435
1996-01-31-14; 0.9126; 5.2595
1996-01-31-15; 0.8527; 5.3861
1996-01-31-16; 0.8602; 5.9917
1996-01-31-17; 0.8456; 6.3431
1996-01-31-18; 0.8346; 6.7748
1996-01-31-19; 0.8298; 7.2314
1996-01-31-20; 0.8206; 7.1927
1996-01-31-21; 0.8602; 7.4563
1996-01-31-22; 0.7410; 6.9182
1996-01-31-23; 0.8013; 7.1153
1996-02-01-00; 0.8630; 4.7791
1996-02-01-01; 0.8768; 4.6465
1996-02-01-02; 0.8653; 4.8966
1996-02-01-03; 0.8176; 5.5980
1996-02-01-04; 0.7372; 6.5652
1996-02-01-05; 0.7388; 7.0770
1996-02-01-06; 0.6760; 5.8487
1996-02-01-07; 0.7469; 4.3199
1996-02-01-08; 0.7235; 4.1740
1996-02-01-09; 0.7252; 4.0950
1996-02-01-10; 0.6585; 4.5666
1996-02-01-11; 0.6039; 4.4733
1996-02-01-12; 0.5993; 4.7570
1996-02-01-13; 0.5190; 5.2217
1996-02-01-14; 0.5591; 5.9101
1996-02-01-15; 0.5726; 7.1446
1996-02-01-16; 0.5057; 7.4588
1996-02-01-17; 0.5795; 9.2528
1996-02-01-18; 0.5620; 10.4826
1996-02-01-19; 0.4704; 10.3886
1996-02-01-20; 0.4669; 8.4376
1996-02-01-21; 0.4386; 8.1575
1996-02-01-22; 0.3861; 8.4776
1996-02-01-23; 0.4294; 7.2709
1996-02-02-00; 0.3637; 7.4556
1996-02-02-01; 0.3350; 9.0952
1996-02-02-02; 0.3468; 6.7391
1996-02-02-03; 0.3277; 7.9866
1996-02-02-04; 0.3692; 8.4963
1996-02-02-05; 0.2942; 9.3507
1996-02-02-06; 0.4083; 10.1970
1996-02-02-07; 0.4122; 10.0099
1996-02-02-08; 0.4142; 9.7769
1996-02-02-09; 0.4583; 9.8076
1996-02-02-10; 0.4275; 9.1734
1996-02-02-11; 0.4712; 5.9979
1996-02-02-12; 0.4503; 6.3578
1996-02-02-13; 0.4275; 6.3494
1996-02-02-14; 0.4303; 5.7702
1996-02-02-15; 0.4275; 6.2498
1996-02-02-16; 0.4103; 5.9219
1996-02-02-17; 0.4583; 6.1742
1996-02-02-18; 0.4888; 6.1016
1996-02-02-19; 0.5342; 5.0014
1996-02-02-20; 0.5733; 4.6524
1996-02-02-21; 0.5620; 4.7231
1996-02-02-22; 0.5634; 5.0915
1996-02-02-23; 0.5266; 4.9131
1996-02-03-00; 0.5733; 5.0593
1996-02-03-01; 0.5402; 4.7984
1996-02-03-02; 0.5357; 3.6980
1996-02-03-03; 0.6177; 3.6235
1996-02-03-04; 0.6444; 3.6783
1996-02-03-06; 0.6748; 3.4698
1996-02-03-07; 0.8162; 3.6667
1996-02-03-08; 0.8759; 3.6794
1996-02-03-09; 1.0290; 3.8001
1996-02-03-10; 0.9775; 3.8681
1996-02-03-11; 0.9462; 3.9558
1996-02-03-12; 1.0263; 4.0102
1996-02-03-13; 1.0200; 4.0008
1996-02-03-14; 1.0414; 4.0488
1996-02-03-15; 1.0200; 4.1383
1996-02-03-16; 0.9610; 4.4169
1996-02-03-17; 0.9849; 4.3632
1996-02-03-18; 0.9865; 4.2691
1996-02-03-19; 0.9407; 4.2911
1996-02-03-20; 0.9069; 4.3954
1996-02-03-21; 0.8895; 4.4243
1996-02-03-22; 0.9626; 4.5800
1996-02-03-23; 0.9572; 4.4758
1996-02-04-00; 0.9901; 4.4641
1996-02-04-01; 1.0563; 4.3881
1996-02-04-02; 1.0684; 4.5829
1996-02-04-03; 0.9763; 4.3058
1996-02-04-04; 1.0314; 4.2334
1996-02-04-05; 1.0094; 4.1368
1996-02-04-06; 1.0232; 4.1831
1996-02-04-07; 1.1605; 3.9935
1996-02-04-08; 1.1067; 4.1362
1996-02-04-09; 1.1427; 4.2470
1996-02-04-10; 1.2560; 4.3754
1996-02-04-11; 1.4364; 4.8180
1996-02-04-12; 1.5263; 4.9748
1996-02-04-13; 1.5817; 4.9710
1996-02-04-14; 1.5966; 5.1265
1996-02-04-15; 1.5178; 5.1054
1996-02-04-16; 1.6291; 5.3737
1996-02-04-17; 1.4525; 5.5318
1996-02-04-18; 1.4785; 6.4186
1996-02-04-19; 1.2947; 7.0060
1996-02-04-20; 1.2665; 7.3100
1996-02-04-21; 1.3088; 7.6921
1996-02-04-22; 1.3838; 7.8517
1996-02-04-23; 1.3876; 7.8354
1996-02-05-00; 1.2132; 6.6584
1996-02-05-01; 1.1013; 6.3888
1996-02-05-02; 1.1694; 5.4927
1996-02-05-03; 1.1118; 4.8442
1996-02-05-04; 1.1518; 4.5203
1996-02-05-05; 1.1006; 4.6745
1996-02-05-06; 1.1208; 4.6350
1996-02-05-07; 1.0725; 4.9775
1996-02-05-08; 1.0601; 5.5789
1996-02-05-09; 1.0892; 5.9795
1996-02-05-10; 1.0766; 5.9611
1996-02-05-11; 0.9893; 6.1432
1996-02-05-12; 0.9717; 6.4391
1996-02-05-13; 1.0844; 7.0789
1996-02-05-14; 0.9701; 7.2504
1996-02-05-15; 0.9356; 7.1884
1996-02-05-16; 0.8890; 7.4825
1996-02-05-17; 0.9183; 7.7816
1996-02-05-18; 0.8662; 7.9469
1996-02-05-19; 0.8375; 7.2818
1996-02-05-20; 0.9709; 7.0615
1996-02-05-21; 0.8117; 6.8551
1996-02-05-22; 0.9585; 8.1793
1996-02-05-23; 1.0070; 7.9695
1996-02-06-00; 1.0094; 6.7907
1996-02-06-01; 0.9954; 6.6837
1996-02-06-02; 0.9767; 5.4495
1996-02-06-03; 1.1290; 4.8449
1996-02-06-04; 1.1165; 4.4507
1996-02-06-05; 1.0010; 4.3827
1996-02-06-06; 1.1183; 4.5289
1996-02-06-07; 1.0487; 4.8656
1996-02-06-08; 0.9998; 5.3331
1996-02-06-09; 0.9218; 5.6677
1996-02-06-10; 0.7993; 6.3304
1996-02-06-11; 0.7892; 6.2440
1996-02-06-12; 0.7518; 6.1909
1996-02-06-13; 0.7618; 5.5835
1996-02-06-14; 0.6724; 5.2383
1996-02-06-15; 0.5993; 5.2209
1996-02-06-16; 0.6229; 4.8312
1996-02-06-17; 0.7207; 4.9818
1996-02-06-18; 0.6190; 4.7172
1996-02-06-19; 0.5627; 4.8045
1996-02-06-20; 0.5468; 4.5792
1996-02-06-21; 0.5282; 4.5757
1996-02-06-22; 0.5289; 4.4939
1996-02-06-23; 0.6158; 4.0580
1996-02-07-00; 0.5135; 4.2508
1996-02-07-01; 0.4494; 4.6097
1996-02-07-02; 0.4064; 4.8085
1996-02-07-03; 0.3659; 5.4207
1996-02-07-04; 0.3089; 5.7136
1996-02-07-05; 0.3114; 5.5421
1996-02-07-06; 0.2760; 5.9133
1996-02-07-07; 0.3127; 4.2602
1996-02-07-08; 0.3954; 3.4605
1996-02-07-09; 0.4054; 3.4599
1996-02-07-10; 0.3777; 4.0166
1996-02-07-11; 0.3604; 4.1368
1996-02-07-12; 0.3637; 4.3975
1996-02-07-13; 0.3872; 4.2041
1996-02-07-14; 0.3604; 4.0854
1996-02-07-15; 0.5475; 3.5481
1996-02-07-16; 0.5932; 3.4730
1996-02-07-17; 0.7738; 3.6809
1996-02-07-18; 0.9287; 3.9051
1996-02-07-19; 1.1780; 4.1374
1996-02-07-20; 1.2744; 4.2532
1996-02-07-21; 1.4990; 4.5592
1996-02-07-22; 1.5705; 4.7278
1996-02-07-23; 1.7194; 4.7543
1996-02-08-00; 1.8691; 4.9867
1996-02-08-01; 1.9540; 5.0776
1996-02-08-02; 2.3737; 5.1706
1996-02-08-03; 2.1673; 5.1913
1996-02-08-04; 2.3187; 5.3988
1996-02-08-05; 2.0528; 5.2228
1996-02-08-06; 2.1022; 5.3188
1996-02-08-07; 2.0046; 5.2001
1996-02-08-08; 1.8477; 5.1454
1996-02-08-09; 1.6969; 5.1554
1996-02-08-10; 1.6603; 5.1983
1996-02-08-11; 1.6151; 5.0370
1996-02-08-12; 1.5908; 5.0613
1996-02-08-13; 1.5500; 5.1739
1996-02-08-14; 1.6056; 5.2070
1996-02-08-15; 1.4331; 5.0520
1996-02-08-16; 1.3352; 5.0549
1996-02-08-17; 1.2560; 4.9440
1996-02-08-18; 1.2573; 4.9321
1996-02-08-19; 1.2709; 4.9755
1996-02-08-20; 1.1995; 4.8840
1996-02-08-21; 1.2668; 5.0282
1996-02-08-22; 1.2141; 4.8578
1996-02-08-23; 1.1525; 5.0476
1996-02-09-00; 1.2045; 5.1449
1996-02-09-01; 1.2015; 5.3118
1996-02-09-02; 1.3061; 5.4269
1996-02-09-03; 1.2406; 5.4216
1996-02-09-04; 1.0038; 5.1276
1996-02-09-05; 1.1300; 5.2575
1996-02-09-06; 1.1360; 5.1176
1996-02-09-07; 1.2092; 4.9659
1996-02-09-08; 1.0859; 4.8306
1996-02-09-09; 1.1218; 5.0597
1996-02-09-10; 0.9701; 4.8971
1996-02-09-11; 0.9060; 4.7236
1996-02-09-12; 0.9270; 4.9777
1996-02-09-15; 0.7826; 4.7275
1996-02-09-16; 0.7597; 4.8680
1996-02-09-17; 0.7691; 5.0123
1996-02-09-18; 0.7774; 5.2020
1996-02-09-19; 0.8298; 5.3882
1996-02-09-20; 0.7988; 5.3910
1996-02-09-21; 0.8351; 5.0385
1996-02-09-22; 0.8098; 5.1081
1996-02-09-23; 0.7831; 5.1653
1996-02-10-00; 0.7469; 5.3064
1996-02-10-01; 0.7836; 5.7250
1996-02-10-02; 0.7372; 5.9705
1996-02-10-03; 0.6742; 5.9743
1996-02-10-04; 0.6019; 5.8423
1996-02-10-05; 0.7246; 4.5736
1996-02-10-07; 0.6312; 5.0578
1996-02-10-08; 0.5754; 5.9539
1996-02-10-09; 0.5205; 5.3623
1996-02-10-10; 0.5684; 5.4806
1996-02-10-11; 0.5228; 4.9558
1996-02-10-12; 0.5387; 5.0766
1996-02-10-13; 0.4771; 5.3709
1996-02-10-14; 0.4863; 5.5887
1996-02-10-15; 0.5128; 4.7056
1996-02-10-16; 0.5174; 5.0773
1996-02-10-17; 0.4635; 4.6588
1996-02-10-18; 0.4896; 4.7953
1996-02-10-19; 0.4359; 4.8397
1996-02-10-20; 0.4180; 5.4481
1996-02-10-21; 0.4247; 4.3957
1996-02-10-22; 0.5357; 4.1684
1996-02-10-23; 0.4846; 4.2811
1996-02-11-00; 0.5001; 5.2854
1996-02-11-01; 0.5236; 6.8193
1996-02-11-02; 0.4936; 7.7976
1996-02-11-03; 0.4303; 9.0013
1996-02-11-04; 0.4423; 9.0281
1996-02-11-05; 0.4218; 8.7606
1996-02-11-06; 0.4721; 9.0434
1996-02-11-07; 0.4256; 9.0105
1996-02-11-08; 0.4103; 8.7310
1996-02-11-09; 0.4161; 8.9350
1996-02-11-10; 0.4969; 8.9271
1996-02-11-11; 0.4618; 8.4978
1996-02-11-12; 0.5244; 8.7733
1996-02-11-13; 0.6413; 4.9006
1996-02-11-14; 0.6941; 4.3691
1996-02-11-15; 0.7780; 4.6406
1996-02-11-16; 0.8058; 4.3945
1996-02-11-17; 0.8269; 4.1519
1996-02-11-18; 0.9104; 4.4031
1996-02-11-19; 0.8083; 4.3937
1996-02-11-20; 0.7780; 4.8304
1996-02-11-21; 0.7597; 5.3699
1996-02-11-22; 0.7634; 5.6592
1996-02-11-23; 0.8922; 6.0685
1996-02-12-00; 0.8098; 6.1895
1996-02-12-01; 0.8351; 6.1266
1996-02-12-02; 0.8176; 5.6857
1996-02-12-03; 0.8832; 4.9347
1996-02-12-04; 0.8370; 5.0130
1996-02-12-05; 0.7882; 5.0484
1996-02-12-06; 0.9139; 4.6550
1996-02-12-07; 0.8574; 4.7465
1996-02-12-08; 0.9279; 4.5202
1996-02-12-09; 0.8191; 4.5774
1996-02-12-11; 0.8043; 4.0580
1996-02-12-12; 0.7639; 3.9998
1996-02-12-13; 0.6350; 4.6309
1996-02-12-14; 0.6524; 5.0865
1996-02-12-15; 0.5973; 5.1149
1996-02-12-16; 0.6694; 5.7375
1996-02-12-17; 0.7055; 4.9329
1996-02-12-18; 0.8043; 4.3288
1996-02-12-19; 0.7394; 4.4602
1996-02-12-20; 0.7157; 4.2511
1996-02-12-21; 0.8456; 4.0377
1996-02-12-22; 0.9946; 3.8830
1996-02-12-23; 0.8890; 3.9194
1996-02-13-00; 0.8536; 3.9139
1996-02-13-01; 0.7780; 3.8716
1996-02-13-02; 0.8279; 3.9087
1996-02-13-03; 0.9339; 4.0638
1996-02-13-04; 0.8365; 3.9569
1996-02-13-05; 0.6924; 4.2808
1996-02-13-06; 0.5986; 4.6256
1996-02-13-07; 0.5634; 4.9579
1996-02-13-08; 0.5213; 5.2121
1996-02-13-09; 0.4635; 5.1106
1996-02-13-10; 0.4635; 5.4959
1996-02-13-11; 0.4468; 5.2264
1996-02-13-12; 0.4349; 4.6489
1996-02-13-13; 0.5088; 4.4255
1996-02-13-14; 0.5009; 3.9837
1996-02-13-15; 0.5274; 4.7233
1996-02-13-16; 0.4945; 4.4131
1996-02-13-17; 0.5096; 5.1516
1996-02-13-18; 0.5088; 5.3725
1996-02-13-19; 0.4275; 4.9155
1996-02-13-20; 0.5364; 3.9952
1996-02-13-21; 0.6524; 3.8440
1996-02-13-22; 0.7016; 3.6635
1996-02-13-23; 0.8186; 3.6971
1996-02-14-00; 0.6053; 3.6722
1996-02-14-01; 0.5698; 3.5211
1996-02-14-02; 0.5461; 3.6470
1996-02-14-03; 0.5112; 3.9660
1996-02-14-04; 0.5809; 3.8618
1996-02-14-05; 0.6158; 3.8249
1996-02-14-06; 0.6450; 3.7762
1996-02-14-07; 0.7780; 3.7464
1996-02-14-08; 0.6958; 3.7145
1996-02-14-09; 0.7318; 3.6076
1996-02-14-10; 0.6760; 3.6094
1996-02-14-11; 0.8690; 3.7340
1996-02-14-12; 0.8399; 4.1257
1996-02-14-13; 0.7707; 4.2244
1996-02-14-14; 0.7836; 4.4435
1996-02-14-15; 0.6506; 4.4178
1996-02-14-16; 0.5691; 4.3961
1996-02-14-17; 0.4993; 4.5610
1996-02-14-18; 0.4574; 4.7454
1996-02-14-19; 0.4284; 4.4353
1996-02-14-20; 0.6369; 3.4010
1996-02-14-21; 0.8028; 3.5387
1996-02-14-22; 0.9668; 3.7233
1996-02-14-23; 1.1438; 3.8300
1996-02-15-00; 1.2750; 3.9775
1996-02-15-01; 1.4275; 4.1031
1996-02-15-02; 1.3513; 4.1712
1996-02-15-03; 1.5590; 4.4385
1996-02-15-04; 1.5888; 4.8000
1996-02-15-05; 1.6433; 4.9983
1996-02-15-06; 1.6048; 5.0362
1996-02-15-07; 1.6101; 5.1664
1996-02-15-08; 1.5842; 5.2215
1996-02-15-09; 1.5868; 5.4369
1996-02-15-10; 1.4955; 5.4460
1996-02-15-11; 1.6151; 5.6387
1996-02-15-12; 1.5858; 5.6607
1996-02-15-13; 1.3772; 5.5248
1996-02-15-14; 1.5804; 5.8212
1996-02-15-15; 1.3666; 5.7080
1996-02-15-16; 1.2916; 5.8081
1996-02-15-17; 1.4652; 6.3705
1996-02-15-18; 1.3543; 6.3302
1996-02-15-19; 1.3295; 6.6965
1996-02-15-20; 1.3646; 7.0895
1996-02-15-21; 1.2627; 7.0538
1996-02-15-22; 1.3107; 7.1196
1996-02-15-23; 1.2728; 7.2413
1996-02-16-00; 1.2396; 7.0939
1996-02-16-01; 1.2194; 7.1721
1996-02-16-02; 1.2171; 7.4187
1996-02-16-03; 1.0958; 7.3115
1996-02-16-04; 1.1229; 7.5466
1996-02-16-05; 1.1728; 7.9457
1996-02-16-06; 1.1749; 7.8748
1996-02-16-07; 1.0487; 7.6441
1996-02-16-08; 1.0973; 7.7230
1996-02-16-09; 1.0796; 7.9021
1996-02-16-10; 1.0441; 7.8704
1996-02-16-11; 0.9064; 7.3405
1996-02-16-12; 0.9100; 7.0978
1996-02-16-13; 0.8868; 7.2566
1996-02-16-14; 0.8630; 7.1854
1996-02-16-15; 0.8926; 6.1130
1996-02-16-16; 0.8351; 5.6220
1996-02-16-17; 0.8531; 5.3424
1996-02-16-18; 0.9505; 5.5921
1996-02-16-19; 1.0283; 4.8650
1996-02-16-20; 1.0815; 5.0453
1996-02-16-21; 1.0601; 4.5662
1996-02-16-22; 1.0976; 4.5564
1996-02-16-23; 1.2072; 4.5885
1996-02-17-00; 1.3908; 4.4188
1996-02-17-01; 1.6716; 4.5774
1996-02-17-02; 1.8572; 4.7962
1996-02-17-03; 1.9248; 5.0387
1996-02-17-04; 2.1285; 5.1241
1996-02-17-05; 1.9734; 5.0818
1996-02-17-06; 2.2013; 5.4065
1996-02-17-07; 2.4061; 5.8090
1996-02-17-08; 2.4904; 5.7917
1996-02-17-09; 2.7485; 6.1139
1996-02-17-10; 2.6818; 6.1450
1996-02-17-11; 2.6363; 5.9719
1996-02-17-12; 2.4418; 5.6225
1996-02-17-13; 2.2551; 5.9557
1996-02-17-14; 2.3788; 6.3119
1996-02-17-15; 2.0717; 6.0821
1996-02-17-16; 2.0124; 5.9598
1996-02-17-17; 1.6153; 5.7488
1996-02-17-18; 1.6227; 6.1391
1996-02-17-19; 1.4125; 6.1583
1996-02-17-20; 1.5094; 6.6882
1996-02-17-21; 1.4723; 6.4592
1996-02-17-22; 1.5520; 5.8738
1996-02-17-23; 1.4890; 6.5460
1996-02-18-00; 1.4445; 6.6711
1996-02-18-01; 1.1445; 6.3196
1996-02-18-02; 1.1546; 6.1598
1996-02-18-03; 1.0673; 6.7960
1996-02-18-04; 0.9572; 5.9856
1996-02-18-05; 0.9257; 5.8515
1996-02-18-06; 0.8427; 6.2915
1996-02-18-07; 0.9462; 5.2891
1996-02-18-08; 1.0208; 5.1015
1996-02-18-09; 1.0137; 4.8980
1996-02-18-10; 1.1487; 5.0714
1996-02-18-11; 1.0969; 4.6831
1996-02-18-12; 1.0654; 4.4188
1996-02-18-13; 1.1560; 4.5923
1996-02-18-14; 1.0980; 4.4507
1996-02-18-15; 0.9722; 4.6040
1996-02-18-16; 0.9205; 4.4976
1996-02-18-17; 0.8404; 4.5914
1996-02-18-18; 0.8375; 5.1247
1996-02-18-19; 0.9016; 5.3388
1996-02-18-20; 0.8643; 4.9042
1996-02-18-21; 1.0157; 4.9193
1996-02-18-22; 1.1813; 4.4914
1996-02-18-23; 1.0684; 5.0973
1996-02-19-00; 0.9144; 4.7884
1996-02-19-01; 0.7437; 5.0499
1996-02-19-02; 0.6512; 6.5317
1996-02-19-03; 0.6724; 6.8889
1996-02-19-04; 0.6819; 6.9729
1996-02-19-05; 0.7691; 6.2382
1996-02-19-06; 0.9135; 7.5598
1996-02-19-07; 1.0725; 8.7029
1996-02-19-08; 1.4187; 8.8882
1996-02-19-09; 1.4963; 9.0151
1996-02-19-10; 1.4451; 8.3899
1996-02-19-11; 1.2592; 8.3457
1996-02-19-12; 1.0781; 8.4647
1996-02-19-13; 0.9601; 7.6126
1996-02-19-14; 1.0418; 8.3237
1996-02-19-15; 0.9214; 8.6601
1996-02-19-16; 1.0118; 9.0999
1996-02-19-17; 1.1114; 9.8663
1996-02-19-18; 1.0673; 9.7777
1996-02-19-19; 1.1928; 9.9313
1996-02-19-20; 1.2630; 8.3875
1996-02-19-21; 1.5226; 8.4975
1996-02-19-22; 1.3442; 7.5948
1996-02-19-23; 1.2354; 6.3507
1996-02-20-00; 1.3486; 6.1693
1996-02-20-01; 1.2816; 5.2930
1996-02-20-02; 1.2944; 4.9940
1996-02-20-03; 1.2813; 4.8332
1996-02-20-04; 1.1343; 4.6201
1996-02-20-05; 1.3027; 4.6824
1996-02-20-06; 1.3097; 5.0791
1996-02-20-07; 1.5761; 5.2984
1996-02-20-08; 1.7136; 5.2581
1996-02-20-09; 1.7361; 5.4320
1996-02-20-10; 1.8628; 5.5219
1996-02-20-11; 1.9754; 5.6978
1996-02-20-12; 1.9792; 5.6037
1996-02-20-13; 2.1100; 5.6612
1996-02-20-14; 2.0060; 5.5250
1996-02-20-15; 1.9161; 5.5265
1996-02-20-16; 1.7259; 5.4682
1996-02-20-17; 1.6683; 5.3787
1996-02-20-18; 1.4652; 5.3624
1996-02-20-19; 1.3893; 5.3435
1996-02-20-20; 1.4384; 5.6193
1996-02-20-21; 1.4780; 5.4866
1996-02-20-22; 1.4202; 5.6251
1996-02-21-00; 1.4782; 5.6253
1996-02-21-01; 1.4500; 5.4138
1996-02-21-02; 1.5414; 5.4004
1996-02-21-03; 1.6331; 5.3882
1996-02-21-04; 1.6431; 5.2946
1996-02-21-05; 1.6531; 5.3196
1996-02-21-06; 1.5582; 5.1560
1996-02-21-07; 1.5289; 5.3744
1996-02-21-08; 1.5294; 5.4613
1996-02-21-09; 1.5176; 5.5578
1996-02-21-10; 1.6113; 5.7682
1996-02-21-11; 1.6704; 5.7477
1996-02-21-12; 1.7577; 5.7080
1996-02-21-13; 1.7469; 5.4834
1996-02-21-14; 1.8596; 5.7648
1996-02-21-15; 1.9809; 5.6082
1996-02-21-16; 1.9092; 5.8700
1996-02-21-17; 2.0062; 5.8705
1996-02-21-18; 1.7430; 5.5419
1996-02-21-19; 1.8817; 5.6607
1996-02-21-20; 1.6845; 5.6850
1996-02-21-21; 1.7828; 5.9476
1996-02-21-22; 1.9358; 6.1348
1996-02-21-23; 2.0249; 6.3233
1996-02-22-00; 2.2033; 6.5433
1996-02-22-01; 2.3145; 6.5014
1996-02-22-02; 2.3325; 6.3477
1996-02-22-03; 2.1956; 6.3915
1996-02-22-04; 1.9215; 5.9767
1996-02-22-05; 1.7683; 6.0342
1996-02-22-06; 1.6306; 5.8110
1996-02-22-07; 1.7065; 5.9521
1996-02-22-08; 1.5687; 5.9314
1996-02-22-09; 1.5199; 6.2534
1996-02-22-10; 1.5489; 5.9313
1996-02-22-11; 1.6475; 6.2532
1996-02-22-12; 1.7602; 6.5946
1996-02-22-13; 1.8248; 6.6840
1996-02-22-14; 1.7236; 6.6469
1996-02-22-15; 1.8859; 7.0263
1996-02-22-16; 1.9052; 7.1989
1996-02-22-17; 1.7138; 6.7366
1996-02-22-18; 1.6736; 6.5789
1996-02-22-19; 1.4641; 6.4534
1996-02-22-20; 1.3766; 6.5900
1996-02-22-21; 1.3563; 6.9492
1996-02-22-22; 1.4888; 7.2651
1996-02-22-23; 1.4495; 7.2826
1996-02-23-00; 1.5048; 7.2730
1996-02-23-01; 1.7391; 7.6375
1996-02-23-02; 1.6409; 7.3862
1996-02-23-03; 1.7819; 7.8788
1996-02-23-04; 1.7089; 7.6548
1996-02-23-05; 1.6771; 7.4653
1996-02-23-06; 1.4227; 6.9215
1996-02-23-07; 1.3593; 6.8159
1996-02-23-08; 1.3391; 7.0234
1996-02-23-09; 1.1441; 6.6696
1996-02-23-10; 1.2312; 7.2220
1996-02-23-11; 1.3745; 7.4200
1996-02-23-12; 1.3480; 7.7031
1996-02-23-13; 1.4608; 7.9561
1996-02-23-14; 1.4303; 7.7853
1996-02-23-15; 1.6360; 8.0121
1996-02-23-16; 1.4752; 7.6995
1996-02-23-17; 1.3731; 7.5396
1996-02-23-18; 1.2624; 7.2751
1996-02-23-19; 1.2019; 7.1673
1996-02-23-20; 1.1353; 7.2522
1996-02-23-21; 1.0866; 6.9623
1996-02-23-22; 1.0356; 6.9514
1996-02-23-23; 1.1608; 7.5998
1996-02-24-00; 1.0464; 7.6104
1996-02-24-01; 1.2674; 8.0815
1996-02-24-02; 1.1769; 8.0024
1996-02-24-03; 1.2399; 8.0495
1996-02-24-04; 1.3243; 7.8915
1996-02-24-05; 1.3448; 7.8865
1996-02-24-06; 1.3394; 7.7989
1996-02-24-07; 1.1240; 7.4263
1996-02-24-08; 1.1190; 7.4425
1996-02-24-09; 0.9857; 7.3084
1996-02-24-10; 1.0796; 7.3411
1996-02-24-11; 0.9386; 7.3056
1996-02-24-12; 1.0251; 7.3036
1996-02-24-13; 0.9909; 6.1892
1996-02-24-14; 1.1928; 6.1338
1996-02-24-15; 1.1834; 5.9359
1996-02-24-16; 1.2276; 5.6704
1996-02-24-17; 1.2128; 5.8398
1996-02-24-18; 1.2207; 6.0139
1996-02-24-19; 1.1107; 5.7446
1996-02-24-20; 1.1711; 6.0179
1996-02-24-21; 1.2454; 5.8577
1996-02-24-22; 1.1691; 6.0284
1996-02-24-23; 1.1448; 6.0096
1996-02-25-00; 1.0740; 6.3084
1996-02-25-01; 0.9816; 6.4958
1996-02-25-02; 1.0969; 5.1871
1996-02-25-03; 1.1071; 5.2320
1996-02-25-04; 1.2367; 5.4291
1996-02-25-05; 1.1215; 5.2365
1996-02-25-06; 1.1265; 5.0990
1996-02-25-07; 1.1773; 4.8712
1996-02-25-08; 1.0998; 4.7217
1996-02-25-09; 1.0310; 4.6899
1996-02-25-10; 1.0236; 4.5703
1996-02-25-11; 1.0441; 4.4825
1996-02-25-12; 1.0121; 4.2779
1996-02-25-13; 1.0456; 4.3755
1996-02-25-14; 1.0714; 4.6926
1996-02-25-15; 1.0699; 4.5026
1996-02-25-16; 1.1992; 4.6336
1996-02-25-17; 1.0325; 4.6713
1996-02-25-18; 1.0479; 4.0188
1996-02-25-19; 1.0263; 3.9391
1996-02-25-20; 1.1118; 3.7654
1996-02-25-21; 1.2230; 3.6791
1996-02-25-22; 1.3980; 3.7338
